模型名称,增强方式,最优学习率,最优训练轮数,最优验证准确率(%),最优模型路径
SimpleCNN,original,0.001,20,74.52,./models/_SimpleCNN_original_lr0.001_epochs20.pth
SimpleCNN,original,0.001,30,75.29,./models/_SimpleCNN_original_lr0.001_epochs30.pth
SimpleCNN,original,0.001,30,75.29,./models/_SimpleCNN_original_lr0.001_epochs30.pth
SimpleCNN,original,0.001,30,75.29,./models/_SimpleCNN_original_lr0.001_epochs30.pth
SimpleCNN,aug,0.001,20,68.98,./models/_SimpleCNN_aug_lr0.001_epochs20.pth
SimpleCNN,aug,0.001,30,71.18,./models/_SimpleCNN_aug_lr0.001_epochs30.pth
SimpleCNN,aug,0.001,30,71.18,./models/_SimpleCNN_aug_lr0.001_epochs30.pth
SimpleCNN,aug,0.001,30,71.18,./models/_SimpleCNN_aug_lr0.001_epochs30.pth
ResNet,original,0.001,20,85.92,./models/_ResNet_original_lr0.001_epochs20.pth
ResNet,original,0.001,30,86.26,./models/_ResNet_original_lr0.001_epochs30.pth
ResNet,original,0.001,30,86.26,./models/_ResNet_original_lr0.001_epochs30.pth
ResNet,original,0.001,30,86.26,./models/_ResNet_original_lr0.001_epochs30.pth
ResNet,aug,0.001,20,84.21,./models/_ResNet_aug_lr0.001_epochs20.pth
ResNet,aug,0.001,30,86.61,./models/_ResNet_aug_lr0.001_epochs30.pth
ResNet,aug,0.001,30,86.61,./models/_ResNet_aug_lr0.001_epochs30.pth
ResNet,aug,0.001,30,86.61,./models/_ResNet_aug_lr0.001_epochs30.pth
DenseNet,original,0.001,20,87.86,./models/_DenseNet_original_lr0.001_epochs20.pth
DenseNet,original,0.001,30,89.67,./models/_DenseNet_original_lr0.001_epochs30.pth
DenseNet,original,0.001,30,89.67,./models/_DenseNet_original_lr0.001_epochs30.pth
DenseNet,original,0.001,30,89.67,./models/_DenseNet_original_lr0.001_epochs30.pth
DenseNet,aug,0.001,20,83.78,./models/_DenseNet_aug_lr0.001_epochs20.pth
DenseNet,aug,0.001,30,86.46,./models/_DenseNet_aug_lr0.001_epochs30.pth
DenseNet,aug,0.001,30,86.46,./models/_DenseNet_aug_lr0.001_epochs30.pth
DenseNet,aug,0.001,30,86.46,./models/_DenseNet_aug_lr0.001_epochs30.pth
